text	label	label_text
india unveils anti-poverty budget india is to boost spending on primary schools and health in a budget flagged as a boost for the ordinary citizen.  india s defence budget has also been raised 7.8% to 830bn rupees ($19bn). the priority for finance minister palaniappan chidambaram is to fight poverty and keep the government s communist allies onside. but his options are limited by a new law which makes him cut the budget deficit  which he said would be 4.5% of gdp in the year to march 2005. the country s overall deficit is thought to be more than 10%  if the spending of india s 35 states and territories is included. under the fiscal responsibility law  mr chidambaram has to trim the deficit by 0.3 percentage points each year  a target he says he has now met for the current year.  but the heavy spending on poverty reduction means the 2005-6 target for the deficit will be 4.3%  mr chidambaram said - falling short of the new law s requirement.  i was left with no option but to press the pause button vis a vis the act   he said. the following year  though  would have to be back on track  he warned.   i may add that we are perilously close to the limits of fiscal prudence and there is no more room for spending beyond our means   he said. the coming year s reduction has meant bringing more of the businesses in india s burgeoning services sector into the tax system and restructuring the personal tax system  although there are numerous corporate tax and duty reductions built into the budget.  presenting his budget in the lower house of parliament  mr chidambaram said the indian economy was performing strongly and that inflation has been reined in. he said india s economy grew 6.9% in 2004. in his budget mr chidambaram has:  - increased spending on primary education to 71.56bn rupees ($1.6bn)   - increased spending on health to 102.8bn rupees ($2.35bn)   - announced that 80bn rupees ($1.8bn) will be spent on building rural infrastructure   - pledged 102.16bn rupees ($2.3bn) for tsunami victims   - increased flow of funds to agriculture by 30%   - announced a package for the sugar industry  in addition  up to 100bn rupees ($2.3bn) to be spent on infrastructure will be sourced by borrowing against the country s foreign exchange reserves  keeping budgeted spending under control.  given the resilience of the indian economy... it is possible to launch a direct assault on poverty   mr chidambaram said.  the whole purpose of democratic government is to eliminate poverty.  the new indian government  led by the congress party  was voted into power last may after it pledged to introduce economic reforms with a  human face .  the finance minister says he is committed to continue reforming india s tax system while expanding the tax base. as part of his reforms he has announced:  - duty cuts on capital goods and raw materials   - expanded service tax net   - raised the income-tax threshold to 100 000 rupees ($2 300)   - reduced income tax for those earning less than 250 000 rupees ($5 700) to 20%   - reduced corporate tax rates to 30%  an annual economic survey released on friday said india needed to ease limit restriction on foreign investment  reform labour laws and cut duties apart from widening the tax base for long-term economic growth. but mr chidambaram is under pressure from the communist parties to focus on increasing social spending. the communists are also hostile to measures seeking to increase foreign investment and allow companies to hire and fire employees at will. in recent months  they have expressed their displeasure at the government s economic reform plans including increasing foreign direct investment in telecommunication and aviation. in his last budget  mr chidambaram had pledged billions of dollars for improving education and health services for the poor as well as special assistance for farmers.	1	business
go-ahead for balkan oil pipeline albania  bulgaria and macedonia has given the go ahead for the construction of a $1.2bn oil pipeline that will pass through the balkan peninsula.  the project aims to allow alternative ports for the shipping of russian and caspian oil  that normally goes through turkish ports. it aims to transport 750 000 daily barrels of oil. the pipeline will be built by the us-registered albanian macedonian bulgarian oil corporation (ambo). the 912km pipeline will run from the bulgarian port of burgas  over the black sea to the albanian city of vlore on the adriatic coast  crossing macedonia.  the project was conceived in 1994 but it was delayed because of the lack of political support. by signing the agreement on tuesday  the prime ministers of bulgaria  albania and macedonia have overcome the problem.  this is one of the most important infrastructure projects for regional  eu  and euro-atlantic integration for the western balkans   said albanian prime minister fatos nano. according to pat ferguson  president of ambo  work on the pipeline will begin in 2005 and it is expected to be ready in three or four years. he added that the company had already raised about $900m from the overseas private investment corporation (opic) - a us development agency - the eximbank and credit suisse first boston  among others. the project has also the support of the european union. analysts have said that oil companies like chevrontexaco  exxon mobil and british petroleum would be happy to find alternative routes to the bosphorus and dardanelles straits.	1	business
mandelson warns bbc on campbell the bbc should steer away from  demonising  ex-downing street media chief alastair campbell  peter mandelson has said.  the european commissioner and former labour minister was speaking amid claims that mr campbell is part of a labour  dirty tricks  campaign. that charge was denied by mr mandelson  who said the tories were afraid of mr campbell s campaigning skills. he warned the bbc that attacking mr campbell had brought it trouble before. that was a reference to the hutton inquiry following a bbc story claiming downing street  sexed up  iraq s weapons of mass destruction dossier.  the affair prompted the resignation of bbc chairman gavyn davies  director-general greg dyke and reporter andrew gilligan. labour has attracted media criticism for using new freedom of information laws to dig up information about tory leader michael howard s past.  mr mandelson  a former labour communications director  told bbc radio 4 s today programme:  i understand why the tories will be gunning for alastair campbell because they fear his campaigning skills.  what i understand less is why the bbc should be joining with the tories in driving that agenda.  in my experience of these things  parties which shout about dirty tricks and the like tend to do so because they fear a direct hit in some vulnerable part of their political anatomy.  i suggest the bbc concentrates on the issues and helps the public to understand the policies and the choices that are at stake in the election rather than engages in the process politics  the trivialisation of the campaign.  i think the bbc would be much better advised to leave all this stuff well alone  concentrate on the issues as i say  not resume their demonisation of alastair campbell - we all know where that led before.   mr campbell is acting as an adviser for labour  which denies engaging in personal campaigning. conservative co-chairman liam fox said mr campbell s return and labour poster plans attacking mr howard - recently withdrawn from the party s website - were a sign of  abusive politics .  the government  despite the fact that they would say want to go forward  not back  seem intent on talking about history rather than their own record or even more importantly  about the future   he said on sunday. labour peer baroness kennedy  who is chairing the power inquiry into political disengagement  said people already thought politicians engaged in dirty tricks.  this feeling of distrust is going to be enlarged if this campaigning on all sides is conducted in the way that it looks as if it just might   she said.	4	politics
optimism remains over uk housing the uk property market remains robust despite the recent slowdown  according to mortgage lender bradford & bingley and housebuilder george wimpey.  b&b said the buy-to-let market - in which the bank is a major player - would continue to grow much faster than the wider mortgage market. the comments came as it reported a 6% rise in profits to £280.2m ($532m). wimpey reported a 19% rise in profits to £450.7m and said recent new home reservations were better than expected.  recent housing market surveys have indicated that the uk property market has cooled in recent months after several years of rapid growth. last week  figures from the council of mortgage lenders (cml) indicated that the popularity of buy-to-let mortgages - a key phenomenon of the housing boom - could be waning.  but b&b - which has a 22% share of the uk buy-to-let mortgage market - said that while rates of growth were moderating  the sector  continues to grow at a rate considerably above that of the whole mortgage market . overall  b&b said that  housing market fundamentals remain strong .  interest rates and unemployment are both likely to remain at historically low levels  real household incomes should continue to grow and housing demand is likely to outstrip supply into the medium-term.  despite the upbeat tone  shares in b&b were down more than 4% at 325.5p in morning trade as analysts worried over future earnings growth.  wimpey s profit figures came in at the top of expectations  with the numbers helped by buoyant sales in the us offsetting a slight slowdown in the uk. wimpey said the uk housing market had proved  challenging  last year.  by late summer  the market in general had slowed sharply across the country and showed no real improvement during the autumn   it added. however  the first seven weeks of this year had produced promising signs  wimpey said.  visitor levels and interest in this period have been encouraging and reservations have been at the stronger end of our expectations.  shares in wimpey were up 6% at 458.5p in morning trade.	1	business
berlin celebrates european cinema organisers say this year s berlin film festival  which opens on thursday with period epic man to man  will celebrate a revitalised european cinema.  of the 21 films in competition for the golden and silver bear awards  more than half are from europe with france particularly well represented. festival director dieter kosslick says this strong showing signals  a new consciousness for european films .  they re on an incredible winning streak   he told the reuters agency.  this isn t to say there aren t any good american films   he continued.  it s just that there are more good european films.   however  mr kosslick refused to accept that widespread opposition to the iraq war had turned audiences against hollywood imports.  there is no anti-american mood   he said. some 350 films will be screened at this year s festival  with a further 300 shown at the european film market that runs alongside it. more than a dozen celebrities are scheduled to attend  among them will smith  kevin spacey and keanu reeves. but mr kosslick says more would be coming had the academy awards not been brought forward to 27 february.  i m not worried that we won t be able to fill the red carpet with stars   he said  though he admitted the festival may be moved to january next year to avoid a similar clash. the 10-day berlinale runs until 20 february.	3	entertainment
cable offers video-on-demand cable firms ntl and telewest have both launched video-on-demand services as the battle between satellite and cable tv heats up.  movies from sony pictures  walt disney  touchstone  miramax  columbia and buena vista will be among those on offer. the service is similar to sky plus  as users can pause  fast forward and rewind content  but they cannot store programmes on their set top box - yet. it could sound the death knell for some tv channels  telewest predicts.  it allows us to demonstrate a clear competitive advantage over sky for the first time in many years   said telewest chief executive eric tveter.   video-on-demand will offer a deeper range of content than currently exists on tv. there will be less compromising around the tv schedule and some of the less popular channels may go by the wayside   said philip snalune  director of products at telewest. telewest customers in bristol and ntl viewers in glasgow will be the first to test the new service  which sees a raft of movies on offer for 24 hour rental. during the year  the service will be extended to all cable regions. films will range in price from £1 or £2 for archived movies to £3.50 for current releases. new releases initially on offer will include 50 first dates  kill bill: volume 2  gothika and the station agent. in addition  ntl is offering children s programmes  adult content  music video and concerts. telewest will launch similar services later in the year. ntl is also offering viewers the chance to catch up with programmes they have missed. its pick of the week service will offer a selection of bbc programmes from the previous seven days such as eastenders  casualty  top gear and antiques roadshow. the bbc is trialling a similar service  offering broadband users the chance to watch programmes already broadcast on their pc. for telewest it is the beginning of a £20m investment in tv-on-demand which will also see the launch of a personal video recorder (pvr). pvr has been a big success for sky because it gives customers control over programmes. satellite customers without pvr cannot pause  rewind or fast forward their programmes.  with both services on offer from telewest  mr tveter is confident the cable firm can dent not just the viewing figures for terrestrial tv but also gain a huge competitive advantage over sky.   we offer the best of both worlds and most households have an interest in having both video-on-demand and pvr   he said. video rental stores may also have to watch their back.  video-on-demand is better than having a video-store in your living room and is more convenient   he said. ntl said it had not ruled out the possibility of offering a pvr but for the moment is concentrating on video-on-demand.  pvr is a recording mechanism whereas what we are offering is truly on demand   said a spokesman for the company. video-on-demand has the added advantage of not requiring a separate set-top box or extra remote controls  he added. adam thomas  an analyst at research firm informa media believes the time is ripe for video-on-demand to flourish.  while sky will remain the dominant force in uk pay tv for some time to come  ntl and telewest seem well placed to successfully ride this second wave of vod enthusiasm and  if marketed correctly  this could help them eat into sky s lead   he said.	0	tech
blue beat u2 to top france honour irish band u2 have been honoured at france s biggest music awards  but were beaten to a prize by boy band blue.  u2 received a special achievement prize at the nrj music awards  but blue beat them to the international group award. us band maroon 5 was named best new international artist  and took the best international song title for this love. more than five million radio listeners voted in the awards. the international male and female prizes went to usher and avril lavigne respectively. collecting his band s award from model naomi campbell at the cannes ceremony  u2 frontman bono said in french:  i m not from this country but i ll make a little confession to you - it s at the cote d azur i feel at home.   hosted by radio group nrj  the ceremony featured performances from usher and jennifer lopez  who was accompanied by dancers clad in schoolgirl outfits. us pop act black eyed peas picked up the best international album gong for elephunk. singer jenifer also took home two awards  for best french female singer and best french album. french-canadian pop star roch voisine was named best francophone male artist.	3	entertainment
mcconnell details scots wave toll at least three people from scotland died in the tsunami disaster and a further three are on the missing list  the first minister has told msps.  the figures came out during a statement by jack mcconnell to the scottish parliament on wednesday. he formally expressed scotland s sympathy for the victims of the indian ocean tidal wave which killed 150 000. mr mcconnell went on to promise that scotland would play its part in the reconstruction effort. he said the provisional figures on the dead and lost had been provided by the police.  mr mcconnell said the tragedy should persuade everyone to step up the fight against global poverty and change the world for the better. he said he was proud of the generous response of people in scotland to the disaster appeal  which is expected soon to top £20m. the first minister also praised scottish water for immediately flying bottled water and five large generators to the disaster zone. the scottish executive has seconded 11 staff to the aid agencies.  but he said scotland was  in it for the long term  with help planned for fishing communities  for children s services  and for the aid charities. he said 2005 must be the year that scotland showed clearly it cared for what happened to people elsewhere in the world  whether in asia or in africa. mr mcconnell went on to signal that the executive would play its part in the make poverty history campaign being mounted by a variety of aid charities  trade unions and churches in the run-up to the g8 summit in gleneagles in july. edinburgh architect  dominic stephenson  became the first scot to be confirmed as a victim of the asian tsunami. the 27-year-old was holidaying on the thai island of koh phi phi with eileen lee  24. she is still missing.	4	politics
france telecom gets orange boost strong growth in subscriptions to mobile phone network orange has helped boost profits at owner france telecom.  orange added more than five million new customers in 2004  leading to a 10% increase in its revenues. increased take-up of broadband telecoms services also boosted france telecom s profits  which showed a 5.5% rise to 18.3bn euros ($23.4bn; £12.5bn). france telecom is to spend 578m euros on buying out minority shareholders in data services provider equant.  france telecom  one of the world s largest telecoms and internet service providers  saw its full-year sales rise 2.2% to 47.2bn euros in 2004.  orange enjoyed strong growth outside france and the united kingdom - its core markets - swelling its subscriber base to 5.4 million. france telecom s broadband customers also increased  rising to 5.1 million across europe by the end of the year. the firm said it had met its main strategic objectives of growing its individual businesses and further reducing its large debt. an ill-fated expansion drive in the late 1990s saw france telecom s debt soar to 72bn euros by 2002. however  this has now been reduced to 43.9bn euros.  our results for 2004 allow us to improve our financial structure while focusing on the innovation that drives our strategy   said chief executive thierry breton.  looking ahead  the company forecast like-for-like sales growth of between 3% and 5% over the next three years. france telecom is consolidating its interest in equant  which provides telecoms and data services to businesses. subject to approval by shareholders of the two firms  it will buy the shares in equant it does not already own. france telecom said it would fund the deal by selling an 8% stake in telephone directory company pagesjaunes.	1	business
holmes feted with further honour double olympic champion kelly holmes has been voted european athletics (eaa) woman athlete of 2004 in the governing body s annual poll.  the briton  made a dame in the new year honours list for taking 800m and 1 500m gold  won vital votes from the public  press and eaa member federations. she is only the second british woman to land the title after- sally gunnell won for her world 400m hurdles win in 1993. swedish triple jumper christian olsson was voted male athlete of the year. the accolade is the latest in a long list of awards that holmes has received since her success in athens. in addition to becoming a dame  she was also named the bbc sports personality of the year in december. her gutsy victory in the 800m also earned her the international association of athletics federations  award for the best women s performance in the world for 2004. and she scooped two awards at the british athletics writers  association annual dinner in october.	2	sport
